VDA_id,y,x,NSI_fd_id,NSI_occtype,NSI_bldgtype,NSI_bid,NSI_st_damcat,NSI_sqft,NSI_found_type,NSI_found_ht,NSI_val_struct,NSI_val_cont,NSI_firmzone,NSI_ground_elv_ft_NAVD88,LC_DS_PDA,LC_occupancy_type,LC_damage_details,LC_bldg_image,LC_student_notes,VDA_elevation_status,VDA_breakaway_walls,VDA_number_of_stories,VDA_DS_roof,VDA_DS_walls,VDA_DS_foundation,VDA_DS_attachments,VDA_DS_openings,VDA_DS_overall,VDA_DS_overall_num,VDA_DS_noroof,VDA_confidence_level,VDA_data_source,VDA_assessment_status,VDA_notes,TA_FolioID,TA_SiteAddress,TA_BldgUseTyp,TA_BasemapCla,TA_MaxStories,TA_ActYearBuilt,TA_EffYearBuilt,TA_EstimatedV,TA_ShapeSTArea_Sqft,FEC_Street_Address,FEC_Building_Use,FEC_Flood_Zones,FEC_BFE,FEC_Elevation_Datum,FEC_Building_Status,FEC_TBF,FEC_TNHF,FEC_LHS,FEC_Attached_Garage,FEC_Lowest_Elevation_of_Equipment,FEC_Lowest _Adjacent_Grade,FEC_Highest_Adjacent_Grade,FEC_Lowest_Adjacent_Grade_at_Lowest_Stairs,FEC_Building_Diagram_Number,FEC_FFE,FFE_grnd_elev_m_NAVD88,FFE_grnd_elev_ft_NAVD88,FFE_shoreline_dist_m,FFE_bldg_diagram,FFE_foundation,FFE_elev_status,FFE_elev_desc,FFE_ffe_ft,FFE_nhf_ft,FFE_lhsm_ft,FFE_measurement_type,FFE_confidence,FFE__notes,SurgeElev_Avg_NAVD88_m,SurgeElev_Low_NAVD88_m,SurgeElev_High_NAVD88_m,SurgeWave_Avg_NAVD88_m,SurgeWave_Low_NAVD88_m,SurgeWave_High_NAVD88_m
FMB0001,26.451625,-81.949115,496537643,COM7,W,76RWF322+M9C-16-3-21-3,COM,42032.99994,S,0.5,4675145.354,6011103.955,AE,4.509685,destroyed,commercial,no,yes," Building is still standing, damage does not seem to DS_PDA level, only one listing for multiple spaces",yes,no,2,DS5,DS1,DS0,DS3,DS3,DS5,5,DS3,,Aerial+StEER,Full,"Two large holes in roof, all openings destroyed",10227974,1661 ESTERO BLVD,commercial,Commercial,2,1976,1985,2219268,20278.82763,,,,,,,,,,,,,,,,,1.39,4.56,233.285986,8,Crawlspace,elevated,Clearly Elevated,3.503719298,13.70830175,,imagery,High,,4.113371211,3.773371211,4.453371211,4.565294196,4.225294196,4.905294196
FMB0002,26.454021,-81.946299,496537650,RES1-1SNB,W,76RWF333+JF4-3-3-2-2,RES,1248,S,0.5,124700.024,62350.0121,AE,3.404561,major,single family,no,yes,"Image shows foundation, roof",no,no,1,DS1,DS0,DS0,DS1,DS2,DS2,2,DS2,,Aerial+StEER,Full,Damage to door and side window,10228018,293 PEARL ST,single family residential,Residential,1,1964,1983,67096,1308.000365,,,,,,,,,,,,,,,,,1.23,4.02,599.136321,1A,Slab-on-Grade,not-elevated,Clearly Not Elevated,0,,,imagery,High,slab on grade,3.820690943,3.480690943,4.160690943,3.977972421,3.637972421,4.317972421
FMB0003,26.452682,-81.948388,496537651,RES1-1SNB,W,76RWF332+3JH-5-2-3-2,RES,1157,S,0.5,102437.587,51218.7938,AE,4.24829,minor,single family,no,yes,"Photo of front of house and side, minimal damage to building shown though a tree fell near building",yes,no,1,DS3,DS1,DS0,DS0,DS1,DS3,3,DS1,,Aerial+StEER,Full,Most of singles are removed,10228212,210 MIRAMAR ST,single family residential,Residential,1,1932,1984,126953,2407.404397,,,,,,,,,,,,,,,,,1.2,4.17,370.149887,6,Piles/Columns,elevated,Probably Elevated,8.459215116,,7.70122093,imagery,Medium,used osu imagery and had difficult line of sight,4.00388009,3.66388009,4.34388009,4.267734364,3.927734364,4.607734364
FMB0004,26.452482,-81.949224,496537652,COM2,S,76RWF322+X8R-7-8-8-7,COM,17702,C,0.5,1135082.84,1135082.84,AE,6.418741,major,commercial,no,yes,Photo is clear and good for assessment,yes,no,1,DS1,DS4,DS0,DS2,DS3,DS4,4,DS4,,Aerial+Lee County,Full,"All openings gone, significant damage to walls",10227975,200 CAROLINA AVE,Warehouse/Industrial,Government,1,1977,1982,819490,18781.73449,,,,,,,,,,,,,,,,,1.36,5.66,314.854483,1B,Slab-on-Grade,not-elevated,Clearly Not Elevated,2.740403383,,,imagery,High,slab on grade,4.048116414,3.708116414,4.388116414,4.36974878,4.02974878,4.70974878
FMB0005,26.452183,-81.951037,496537653,RES1-1SNB,W,76RWF22X+VHG-3-3-3-2,RES,936,W,1.5,90665.8002,45332.9001,AE,3.685452,destroyed,single family,no,yes,Only rubble remains,yes,no,1,DS5,DS5,DS6,DS3,DS3,DS6,6,DS6,,Aerial+Lee County,Full,Building is destroyed,10228063,1401 SANTOS RD,single family residential,Residential,1,1925,1985,133706,1468.003587,,,,,,,,,,,,,,,,,0.97,3.69,209.951453,7,Wall,elevated,Probably Elevated,8.13964891,,,imagery,Medium,treeline makes some measurements difficult to find,4.132038838,3.792038838,4.472038838,4.636082496,4.296082496,4.976082496
FMB0006,26.452719,-81.951577,496537654,RES1-1SNB,W,76RWF23X+39M-3-3-3-3,RES,910,I,8,103755.855,51877.9279,AE,-0.900585,major,multi-family,no,yes,"Photo shows removed cladding, wall damage",yes,no,2,DS1,DS4,DS0,DS0,DS1,DS4,4,DS4,,Aerial+Lee County,Full,"Wall is open by attached garage with clading ripped from walls, tree damage",10228097,130 PALERMO CIR,single family residential,Residential,1,1967,1983,121260,1897.47584,,,,,,,,,,,,,,,,,1.39,3.06,239.040284,7,Wall,elevated,Likely Elevated,7.59394268,,,imagery,High,bottom story appears to be only garages,4.108767773,3.768767773,4.448767773,4.549081656,4.209081656,4.889081656
FMB0007,26.452552,-81.952071,496537655,RES1-1SNB,W,76RWF23X+25F-3-3-4-3,RES,1320,C,1.5,110684.724,55342.3622,AE,3.860935,destroyed,single family,no,yes,Photo shows irreperable structural damage,yes,no,1,DS5,DS5,DS6,DS3,DS3,DS6,6,DS6,,Aerial+Lee County,Full,"Elevated portion of structure has entirely collapsed, bowing on remaining walls",10228164,121 PALERMO CIR,single family residential,Residential,1,1937,1986,136615,1515.930699,,,,,,,,,,,,,,,,,1.52,3.86,198.047886,7,Wall,elevated,Probably Elevated,5.202464183,,,imagery,High,"house is really weird layout and certain areas have different floor elevations, measurements are accurate. Lower floor seems to be storage.",4.141561691,3.801561691,4.481561691,4.675758389,3.775758389,5.575758389
FMB0008,26.452786,-81.952539,496537656,RES1-1SNB,W,76RWF23W+4X8-2-3-2-2,RES,1412,I,8,115056.334,57528.1671,AE,4.036986,major,single family,yes,no,Talks about major structural damage to the walls like framing. Doesn’t mention if it exterior or interior though,yes,no,1,DS0,DS1,DS0,DS1,DS0,DS1,1,DS1,Low,Aerial+OSU,Full,Looking at the house with OSU street view data you can tell this house was worked on in that time. There was no steer data to go off of so I had to use OSU and NOAA. From the osu I saw a stair railing missing and some cladding so those are the reasons behind the dS1,10228161,124 PRIMO DR,single family residential,Residential,1,1992,1995,128880,1567.910714,,,,,,,,,,,,,,,,,1.68,4.02,200.843707,6,Piles/Columns,elevated,Likely Elevated,9.321839763,,7.604658754,imagery,High,bottom story is most likely not living space,4.139325034,3.799325034,4.479325034,4.666198515,4.326198515,5.006198515
FMB0009,26.455361,-81.952979,496537657,RES1-1SNB,W,76RWF24W+4RR-2-2-2-2,RES,770,I,8,93144.5222,46572.2611,AE,2.99462,minor,multi-family,yes,yes,"Photo shows front of home,  no major damage visible",yes,no,1,DS0,DS1,DS0,DS0,DS0,DS1,1,DS1,,Aerial+StEER,Full,"Building is minamally impacted, aesthetic damage to the walls",10228374,259 PRIMO DR,single family residential,Residential,1,1957,1993,98212,1821.508487,,,,,,,,,,,,,,,,,1,2.92,429.695989,6,Piles/Columns,elevated,Likely Elevated,6.771198872,,5.106770099,imagery,High,"treeline partially obscures roofline, ffe location is somewhat unclear, slight engineering judgement, feels accurate",3.956243209,3.616243209,4.296243209,4.175793008,3.835793008,4.515793008
FMB0010,26.454547,-81.952977,496537658,RES1-1SNB,W,76RWF23W+RR6-2-3-1-3,RES,1608,I,8,125108.379,62554.1895,AE,3.969827,minor,single family,no,yes,"Damage to insulation of elevated floor, windows are boarded, so rating is not possible",yes,no,1,DS0,DS4,DS0,DS0,,DS4,4,,,Aerial+Lee County,Partial,"Insulation of elevated floors is exposed, otherwise little damage",10599788,,single family residential,Residential,1,1995,,169414,2745.869393,,,,,,,,,,,,,,,,,1.11,4.04,352.509946,6,Piles/Columns,elevated,Likely Elevated,9.855581623,,9.111202346,imagery,High,elevated utilities,4.017992043,3.677992043,4.357992043,4.298268012,3.958268012,4.638268012
