,agent_id,origin_nid,destin_nid,hour,quarter,tour_category,person_id
14308,14308,1635,84,8,0,MANDATORY,3814002
25653,25653,1490,2354,7,1,MANDATORY,824274
28392,28392,2173,1723,8,1,MANDATORY,1697011
2219,2219,2424,1759,8,3,MANDATORY,3747606
23196,23196,2109,2189,8,3,MANDATORY,7489958
23219,23219,2523,2354,8,4,MANDATORY,443436
23298,23298,689,2354,8,0,MANDATORY,824465
17749,17749,326,2030,7,4,MANDATORY,887912
301,301,2355,1930,7,4,MANDATORY,4911030
19143,19143,1927,2354,7,0,MANDATORY,2776036
20600,20600,1645,2354,7,0,MANDATORY,290192
72,72,2355,529,8,3,MANDATORY,3629674
6771,6771,1999,84,7,4,MANDATORY,5205179
20005,20005,1465,2314,7,5,MANDATORY,7323476
20141,20141,168,482,8,2,MANDATORY,6814151
22353,22353,681,931,8,2,MANDATORY,4839322
2372,2372,2424,822,8,5,MANDATORY,4833690
17893,17893,2526,2354,7,4,MANDATORY,6046940
9051,9051,487,2059,8,3,MANDATORY,6519794
13792,13792,910,84,7,4,MANDATORY,4350010
1250,1250,2277,2354,7,1,MANDATORY,3898406
245,245,2355,1636,7,2,MANDATORY,2154212
24968,24968,712,2449,7,0,MANDATORY,7804849
12066,12066,1982,1542,7,5,MANDATORY,5485424
11696,11696,1564,1542,8,2,MANDATORY,2775799
26610,26610,2355,1701,7,5,MANDATORY,2014912
25380,25380,1098,203,8,0,MANDATORY,4067135
3103,3103,2355,417,8,0,MANDATORY,4164385
18825,18825,149,35,7,4,MANDATORY,443078
4365,4365,1977,987,8,1,MANDATORY,6042865
15942,15942,883,2354,7,1,MANDATORY,5052149
11903,11903,2355,837,8,3,MANDATORY,6046203
13228,13228,2542,844,8,5,MANDATORY,2013085
20675,20675,806,2354,7,0,MANDATORY,3705709
16676,16676,2474,1112,7,2,MANDATORY,3983159
6083,6083,2355,1605,8,1,MANDATORY,2318017
21282,21282,1629,2354,7,1,MANDATORY,6269045
2845,2845,2355,310,8,5,MANDATORY,568010
7984,7984,1300,2431,7,2,MANDATORY,3176131
19422,19422,1800,2354,8,0,MANDATORY,5486034
3028,3028,2355,1449,7,4,MANDATORY,2144614
28023,28023,2355,2591,7,1,MANDATORY,7021718
614,614,2424,2607,8,0,MANDATORY,3846020
19788,19788,2702,2354,7,0,MANDATORY,5486177
7274,7274,1764,84,7,2,MANDATORY,2887172
9170,9170,1233,2059,7,3,MANDATORY,3320471
14143,14143,2083,84,8,4,MANDATORY,2013199
17916,17916,1867,2354,7,2,MANDATORY,3705448
11442,11442,2424,1535,8,3,MANDATORY,2611980
21911,21911,2497,2354,7,2,MANDATORY,3747824
5810,5810,2355,98,8,5,MANDATORY,289237
22190,22190,1891,1404,8,4,MANDATORY,2318977
18470,18470,5,2354,7,4,MANDATORY,3922161
2519,2519,2424,193,7,1,MANDATORY,6040472
238,238,2355,874,7,1,MANDATORY,3641900
29083,29083,2355,466,7,0,MANDATORY,2042319
28308,28308,2173,192,8,2,MANDATORY,7032418
2059,2059,152,84,8,2,MANDATORY,937462
19888,19888,2375,2354,7,1,MANDATORY,2887901
841,841,2424,2050,8,0,MANDATORY,3522563
1268,1268,2424,2288,8,0,MANDATORY,6037834
27850,27850,2355,2366,7,2,MANDATORY,1057918
19516,19516,563,9,8,2,MANDATORY,7323756
20852,20852,1155,2354,8,4,MANDATORY,2050160
17123,17123,904,2354,7,2,MANDATORY,7323045
21968,21968,1122,2354,7,3,MANDATORY,945605
7896,7896,702,2431,8,2,MANDATORY,3704107
5019,5019,2173,764,8,3,MANDATORY,4165906
15943,15943,1523,2354,7,0,MANDATORY,5170389
5700,5700,1884,1595,8,0,MANDATORY,2009010
9591,9591,2408,1542,7,2,MANDATORY,3982837
28022,28022,2355,2390,7,5,MANDATORY,249599
19430,19430,2657,2354,7,4,MANDATORY,2318828
19303,19303,2286,14,8,5,MANDATORY,2887712
18693,18693,1960,212,8,4,MANDATORY,627119
20262,20262,2706,2354,8,5,MANDATORY,2689947
17405,17405,1865,2354,7,4,MANDATORY,2049966
5734,5734,1884,619,7,0,MANDATORY,626309
12129,12129,1696,1542,7,5,MANDATORY,3197165
14008,14008,581,2667,7,2,MANDATORY,6046269
9153,9153,1472,2059,7,0,MANDATORY,4166890
19055,19055,1318,2354,8,0,MANDATORY,7323110
17387,17387,594,2507,7,3,MANDATORY,411511
1331,1331,2424,2556,7,3,MANDATORY,6986795
10024,10024,2462,1542,7,3,MANDATORY,5205299
17029,17029,1473,2354,7,1,MANDATORY,4047969
11680,11680,2567,1542,8,5,MANDATORY,4614906
8300,8300,75,1726,7,5,MANDATORY,5484167
29196,29196,2355,1670,7,1,MANDATORY,1851758
2539,2539,2424,408,8,3,MANDATORY,1036925
28693,28693,2173,2232,7,2,MANDATORY,4190685
6216,6216,2637,2354,8,2,MANDATORY,5674252
10606,10606,302,496,7,4,MANDATORY,1400093
28429,28429,2173,1196,8,4,MANDATORY,5509980
1790,1790,2688,1542,8,0,MANDATORY,6504967
2634,2634,2424,2244,8,1,MANDATORY,585688
14166,14166,980,84,8,5,MANDATORY,5485565
7144,7144,2625,134,8,3,MANDATORY,4838323
695,695,2424,2345,8,0,MANDATORY,3938522
6488,6488,2081,2354,7,5,MANDATORY,669219
5223,5223,1730,84,7,5,MANDATORY,361983
23486,23486,1603,223,8,0,MANDATORY,825790
25422,25422,2717,2354,7,0,MANDATORY,462452
15279,15279,339,1404,8,0,MANDATORY,1048274
25410,25410,1836,1407,8,5,MANDATORY,824950
22437,22437,1615,1369,7,4,MANDATORY,4839389
24731,24731,1369,183,8,2,MANDATORY,822661
18742,18742,1140,2354,8,0,MANDATORY,6046842
4928,4928,2173,1051,7,1,MANDATORY,247600
17591,17591,1047,2354,7,3,MANDATORY,5485841
16835,16835,2131,2354,8,2,MANDATORY,7322584
20241,20241,2595,174,8,2,MANDATORY,6657160
12075,12075,1604,1542,7,2,MANDATORY,5933436
745,745,2424,2444,7,3,MANDATORY,6197839
18990,18990,2355,1785,7,2,MANDATORY,443110
12623,12623,107,1542,8,2,MANDATORY,7578577
14901,14901,1940,84,7,3,MANDATORY,5675946
12381,12381,2051,1542,8,4,MANDATORY,6268962
5601,5601,1884,1007,7,2,MANDATORY,821732
20633,20633,2355,1634,7,3,MANDATORY,587961
8769,8769,1003,2059,7,3,MANDATORY,1769989
493,493,2355,945,8,5,MANDATORY,6833626
24406,24406,1370,97,8,3,MANDATORY,538813
14439,14439,1338,1928,7,5,MANDATORY,3705036
28624,28624,2355,2365,8,1,MANDATORY,6753244
20120,20120,649,2354,8,2,MANDATORY,1690513
8613,8613,2078,2059,8,4,MANDATORY,3054684
10955,10955,2418,1542,8,4,MANDATORY,4838440
16821,16821,258,2354,8,0,MANDATORY,2073817
22480,22480,1034,2354,7,0,MANDATORY,7324298
13014,13014,126,84,7,0,MANDATORY,2281716
7298,7298,1693,84,8,4,MANDATORY,6813995
10489,10489,2389,1542,7,4,MANDATORY,3563058
16427,16427,406,2354,8,1,MANDATORY,1770865
16716,16716,2272,2354,7,4,MANDATORY,7322447
18737,18737,1835,2354,8,5,MANDATORY,2887835
11403,11403,1348,2059,8,5,MANDATORY,4166962
25821,25821,378,2354,8,2,MANDATORY,2989640
27391,27391,2355,191,8,1,MANDATORY,2198355
8072,8072,2664,2431,7,3,MANDATORY,3562865
724,724,2424,1983,7,2,MANDATORY,5382363
5661,5661,1884,1766,7,2,MANDATORY,4166690
18961,18961,1314,2354,8,0,MANDATORY,5676195
27303,27303,2355,561,8,0,MANDATORY,7010664
27130,27130,2355,322,8,4,MANDATORY,7330702
19239,19239,2173,1883,7,1,MANDATORY,411621
17664,17664,258,2354,7,5,MANDATORY,5485901
22548,22548,1588,858,7,3,MANDATORY,2258079
14592,14592,2355,10,8,0,MANDATORY,6046281
21354,21354,948,2354,7,1,MANDATORY,4615781
1219,1219,2424,282,7,5,MANDATORY,6478969
23681,23681,1260,2354,7,4,MANDATORY,825488
16469,16469,1587,2354,7,0,MANDATORY,7323028
2417,2417,2424,2335,8,1,MANDATORY,2431621
1187,1187,2424,242,7,0,MANDATORY,3860955
4897,4897,2173,1997,7,2,MANDATORY,2281377
11760,11760,109,1542,8,3,MANDATORY,2257769
20566,20566,2162,2354,8,4,MANDATORY,627219
12279,12279,1566,1542,8,0,MANDATORY,3704535
8832,8832,999,2059,7,2,MANDATORY,3148519
18852,18852,2264,2354,8,2,MANDATORY,2318816
13872,13872,910,84,7,2,MANDATORY,4277704
20641,20641,945,2354,7,2,MANDATORY,7176657
24219,24219,1259,2354,8,5,MANDATORY,2989174
28257,28257,2173,2398,8,1,MANDATORY,3871363
20925,20925,2629,1488,8,3,MANDATORY,1048570
29351,29351,2355,1098,8,1,MANDATORY,7586568
10492,10492,543,1542,8,4,MANDATORY,2434029
11650,11650,2424,1443,7,3,MANDATORY,2538054
8995,8995,1316,2059,8,4,MANDATORY,2887252
16432,16432,1384,2354,7,2,MANDATORY,5205706
20617,20617,782,1215,8,3,MANDATORY,4492610
17803,17803,1408,2354,7,1,MANDATORY,5485922
11911,11911,1982,1542,7,0,MANDATORY,2012871
13143,13143,1798,84,7,0,MANDATORY,7653612
24602,24602,1265,2354,8,5,MANDATORY,2339032
6976,6976,1620,84,7,5,MANDATORY,2887185
6724,6724,143,84,8,0,MANDATORY,365633
22674,22674,2690,2354,7,3,MANDATORY,159537
13658,13658,577,1143,7,0,MANDATORY,6046251
5481,5481,1884,1632,8,2,MANDATORY,3700213
26761,26761,2355,2708,8,2,MANDATORY,6657338
770,770,2424,2706,7,0,MANDATORY,7474805
28113,28113,2355,1626,7,5,MANDATORY,6055474
9935,9935,1221,1542,7,5,MANDATORY,7005094
19120,19120,2286,2354,7,0,MANDATORY,2013553
12783,12783,1564,1542,8,5,MANDATORY,2887464
2608,2608,2424,128,7,4,MANDATORY,1642939
11875,11875,116,1542,7,3,MANDATORY,2012835
25936,25936,1269,2354,7,4,MANDATORY,2990151
11310,11310,2656,526,8,2,MANDATORY,3781285
2180,2180,2424,736,7,1,MANDATORY,1550632
22339,22339,1699,2354,7,0,MANDATORY,2050176
8507,8507,518,2059,8,0,MANDATORY,5484349
1549,1549,2424,1842,7,3,MANDATORY,3809419
8643,8643,1856,2059,8,4,MANDATORY,5169958
16905,16905,1611,2354,8,2,MANDATORY,3983268
11853,11853,1425,1542,8,5,MANDATORY,3274062
27815,27815,2355,1554,7,4,MANDATORY,631523
23420,23420,835,2354,8,1,MANDATORY,825668
22934,22934,234,2354,8,3,MANDATORY,627337
21259,21259,943,525,7,0,MANDATORY,2013698
11812,11812,1477,25,8,3,MANDATORY,6123176
12444,12444,107,1542,8,3,MANDATORY,4971014
21552,21552,2173,418,8,3,MANDATORY,6047019
17161,17161,2480,2354,7,4,MANDATORY,4048002
23536,23536,1488,2354,8,0,MANDATORY,7804576
6369,6369,1884,541,8,3,MANDATORY,2281591
19795,19795,764,2354,7,3,MANDATORY,4350061
1985,1985,2424,2718,7,1,MANDATORY,4272150
18290,18290,1570,491,7,2,MANDATORY,4615454
7981,7981,936,2431,8,3,MANDATORY,6519723
29385,29385,2355,7,7,0,MANDATORY,5182437
11248,11248,407,2354,7,2,MANDATORY,5020336
4446,4446,2173,1112,7,0,MANDATORY,3043454
2421,2421,2424,1006,7,2,MANDATORY,2392917
11879,11879,2424,1375,8,4,MANDATORY,1644711
6959,6959,2,84,7,5,MANDATORY,3704030
22373,22373,211,2354,7,5,MANDATORY,1928242
17004,17004,900,2354,8,1,MANDATORY,3705322
747,747,2424,482,7,3,MANDATORY,5637870
28282,28282,2173,2201,8,2,MANDATORY,7353715
24362,24362,565,2354,7,2,MANDATORY,823036
33,33,2355,282,8,3,MANDATORY,6106492
20611,20611,1085,2354,7,2,MANDATORY,4763198
10625,10625,423,1542,8,4,MANDATORY,3704294
22625,22625,1038,2354,8,5,MANDATORY,3867598
16837,16837,1048,2354,8,2,MANDATORY,3705375
29077,29077,2355,1996,8,5,MANDATORY,2078822
29390,29390,2355,10,7,5,MANDATORY,3622338
11742,11742,116,1542,8,0,MANDATORY,3704685
17000,17000,1049,2354,8,5,MANDATORY,365941
23153,23153,2704,2354,7,1,MANDATORY,823232
11711,11711,2024,1542,8,2,MANDATORY,7550427
9006,9006,2505,84,8,0,MANDATORY,5051855
21080,21080,2161,2354,7,4,MANDATORY,7176600
11208,11208,2424,1038,8,2,MANDATORY,4426840
27086,27086,2355,1560,7,0,MANDATORY,7008824
16755,16755,1415,2354,7,5,MANDATORY,3348339
8299,8299,1596,2431,7,4,MANDATORY,5484308
5073,5073,2355,761,8,4,MANDATORY,361727
11322,11322,2424,923,8,1,MANDATORY,3483295
19952,19952,803,2354,7,5,MANDATORY,7323513
19513,19513,2365,2354,8,5,MANDATORY,2689955
11552,11552,2173,119,8,1,MANDATORY,5866133
27013,27013,2355,2257,8,5,MANDATORY,87953
11389,11389,2424,800,8,2,MANDATORY,4364655
18711,18711,1612,2354,7,2,MANDATORY,6046687
8969,8969,1315,2059,7,3,MANDATORY,158426
4646,4646,2355,1664,7,5,MANDATORY,3296985
8349,8349,1915,2261,7,1,MANDATORY,7004738
25624,25624,687,2354,7,2,MANDATORY,824207
25764,25764,1296,2354,8,1,MANDATORY,825281
19597,19597,407,68,8,3,MANDATORY,4763063
8762,8762,1997,2190,8,2,MANDATORY,7489555
22232,22232,1981,2354,7,0,MANDATORY,5261689
14519,14519,1842,20,7,2,MANDATORY,3704871
17250,17250,2012,2354,7,0,MANDATORY,411538
17541,17541,816,2354,7,4,MANDATORY,4615137
9684,9684,438,1542,7,1,MANDATORY,1647181
22916,22916,1576,2354,7,3,MANDATORY,3705805
6348,6348,2355,1869,7,3,MANDATORY,1614811
8283,8283,1254,2431,7,0,MANDATORY,5020144
14482,14482,1333,84,7,1,MANDATORY,2013088
28858,28858,2665,2354,8,2,MANDATORY,2077519
6874,6874,1802,1673,7,2,MANDATORY,1177534
24197,24197,2720,2354,8,0,MANDATORY,823362
8639,8639,1348,2059,7,5,MANDATORY,5020183
7097,7097,1903,84,8,1,MANDATORY,1400061
6399,6399,1884,2135,8,0,MANDATORY,1228487
4898,4898,2173,2664,7,2,MANDATORY,384009
5995,5995,2355,170,7,5,MANDATORY,3562205
24503,24503,567,2354,8,3,MANDATORY,462209
19467,19467,1125,2354,7,3,MANDATORY,1177853
4145,4145,2173,1838,8,4,MANDATORY,397733
5217,5217,1844,84,8,4,MANDATORY,1110727
17268,17268,894,2354,7,5,MANDATORY,7322662
2195,2195,2424,2685,7,5,MANDATORY,7802076
25395,25395,792,2354,8,0,MANDATORY,823578
5400,5400,1884,2362,8,2,MANDATORY,1881910
20680,20680,1818,2605,7,5,MANDATORY,290203
20083,20083,191,784,8,1,MANDATORY,6123257
2692,2692,2424,959,7,2,MANDATORY,1171393
12681,12681,274,1542,8,5,MANDATORY,5052032
24031,24031,1724,2354,7,0,MANDATORY,824608
3120,3120,1684,367,7,1,MANDATORY,3441134
11780,11780,1492,1542,8,5,MANDATORY,1770367
25696,25696,2230,2354,7,3,MANDATORY,462126
626,626,2424,2120,7,0,MANDATORY,2469926
7196,7196,155,20,7,5,MANDATORY,7004610
28929,28929,2355,139,8,2,MANDATORY,2325373
6236,6236,2355,8,7,3,MANDATORY,5674143
25271,25271,713,2354,7,4,MANDATORY,461801
23577,23577,2207,2354,7,4,MANDATORY,822918
8117,8117,43,2447,8,4,MANDATORY,3813815
16582,16582,818,2354,7,0,MANDATORY,4615277
6774,6774,2624,84,8,2,MANDATORY,4277149
20847,20847,1178,2354,8,5,MANDATORY,1177901
19489,19489,306,777,8,4,MANDATORY,7323709
19138,19138,1897,2354,7,1,MANDATORY,2222903
8267,8267,1404,2431,8,4,MANDATORY,3273931
20635,20635,1572,1906,7,1,MANDATORY,4763155
8700,8700,2149,2059,7,5,MANDATORY,1177578
10243,10243,2332,1542,8,0,MANDATORY,5051943
20924,20924,965,452,8,3,MANDATORY,1048570
23124,23124,204,1702,8,3,MANDATORY,3563955
20501,20501,2162,2354,7,0,MANDATORY,6744157
17616,17616,1047,2354,7,2,MANDATORY,2073827
29170,29170,2355,711,7,5,MANDATORY,2807243
25067,25067,1993,2354,7,3,MANDATORY,4067011
7865,7865,1637,2431,7,2,MANDATORY,3148421
26338,26338,892,205,8,4,MANDATORY,2088751
20028,20028,1106,2354,7,2,MANDATORY,311580
28676,28676,2173,127,8,2,MANDATORY,5515592
24917,24917,1185,2354,8,3,MANDATORY,2990042
27591,27591,2355,2715,7,2,MANDATORY,5492463
18033,18033,2278,2354,8,2,MANDATORY,159378
26736,26736,2355,1567,8,1,MANDATORY,946119
19179,19179,1929,2354,7,0,MANDATORY,7006353
11946,11946,837,1542,8,5,MANDATORY,1647211
23743,23743,780,944,7,4,MANDATORY,5933927
23807,23807,719,215,8,4,MANDATORY,825220
18183,18183,2201,2354,7,4,MANDATORY,442854
4219,4219,2495,547,8,5,MANDATORY,3981224
17429,17429,1868,2708,8,4,MANDATORY,2222861
6443,6443,2173,902,8,2,MANDATORY,1177361
9832,9832,2334,1542,7,0,MANDATORY,7321740
13035,13035,2670,84,7,5,MANDATORY,2612087
11994,11994,1422,1542,7,2,MANDATORY,2012830
17180,17180,1198,2354,8,3,MANDATORY,2281742
5884,5884,2355,1321,7,5,MANDATORY,5672640
18154,18154,2355,157,8,5,MANDATORY,7006225
27335,27335,2355,946,7,0,MANDATORY,1776321
15012,15012,2546,108,7,5,MANDATORY,7550497
12148,12148,2508,1542,7,0,MANDATORY,4166988
24283,24283,2230,2354,7,3,MANDATORY,824753
17233,17233,638,2354,7,4,MANDATORY,3747761
13696,13696,2066,2059,8,5,MANDATORY,6046265
17702,17702,593,2354,7,4,MANDATORY,2281764
14373,14373,612,2176,8,3,MANDATORY,7322363
23571,23571,722,2354,7,3,MANDATORY,4066955
15801,15801,2099,2354,7,4,MANDATORY,5485763
13319,13319,985,84,7,5,MANDATORY,1770406
5912,5912,1884,268,7,0,MANDATORY,2009589
5991,5991,172,2354,8,5,MANDATORY,2937056
19963,19963,308,2354,8,3,MANDATORY,4364686
16279,16279,2496,2354,7,2,MANDATORY,6520941
23145,23145,2718,2354,7,3,MANDATORY,462120
12349,12349,704,2226,8,4,MANDATORY,2073728
17001,17001,243,944,8,3,MANDATORY,3983114
19661,19661,190,2354,8,4,MANDATORY,5676220
23300,23300,1031,218,7,5,MANDATORY,461607
19973,19973,160,2354,8,3,MANDATORY,627190
10635,10635,2458,1542,7,2,MANDATORY,2318676
26681,26681,2355,299,7,1,MANDATORY,2889175
27521,27521,2355,2287,8,3,MANDATORY,7335963
14200,14200,728,84,7,1,MANDATORY,7636205
17876,17876,1426,2354,7,5,MANDATORY,3983359
28433,28433,2173,1573,7,1,MANDATORY,5510276
24806,24806,2502,2354,8,5,MANDATORY,825998
12567,12567,2567,1542,8,2,MANDATORY,7872164
14256,14256,15,84,7,5,MANDATORY,7005858
4830,4830,1884,114,7,1,MANDATORY,5482563
23164,23164,2572,2354,7,0,MANDATORY,4939235
27596,27596,2355,2546,7,0,MANDATORY,248724
123,123,2355,2189,8,1,MANDATORY,7457873
5111,5111,2173,388,8,3,MANDATORY,7840112
22501,22501,1920,2354,7,3,MANDATORY,159526
11021,11021,1228,1542,7,4,MANDATORY,5773734
2543,2543,2424,1200,7,1,MANDATORY,2457259
5108,5108,2173,109,8,5,MANDATORY,6244031
28727,28727,1884,1558,8,0,MANDATORY,7361818
4617,4617,2355,1824,8,0,MANDATORY,6243199
20917,20917,665,2354,8,2,MANDATORY,1048563
25256,25256,792,2519,7,0,MANDATORY,2990011
25717,25717,2438,917,7,1,MANDATORY,824461
13491,13491,865,2089,7,2,MANDATORY,5219522
2701,2701,2424,2602,8,4,MANDATORY,2987383
12301,12301,2578,1542,7,3,MANDATORY,5485427
13603,13603,2039,84,8,0,MANDATORY,158961
27958,27958,2355,960,8,4,MANDATORY,1059945
11731,11731,1944,1542,7,2,MANDATORY,5112194
64,64,2355,1598,7,2,MANDATORY,5247103
9952,9952,511,1542,7,5,MANDATORY,4277275
21524,21524,1153,2289,7,4,MANDATORY,4763197
25125,25125,1684,2354,8,1,MANDATORY,4067044
4578,4578,17,1804,8,0,MANDATORY,1399848
4946,4946,2173,2020,8,0,MANDATORY,2457489
7894,7894,1306,2431,7,0,MANDATORY,7550209
20201,20201,1261,2354,8,5,MANDATORY,6521074
14874,14874,1876,900,8,2,MANDATORY,3563460
6686,6686,1087,84,7,1,MANDATORY,3308097
12088,12088,2685,1542,8,5,MANDATORY,365784
21557,21557,1793,2354,7,5,MANDATORY,707278
868,868,2424,1826,7,0,MANDATORY,4232893
24184,24184,790,2354,7,2,MANDATORY,825615
25323,25323,1489,2354,8,1,MANDATORY,2989599
8104,8104,1017,96,7,4,MANDATORY,248075
28099,28099,2355,1566,8,1,MANDATORY,5498275
595,595,2355,1168,7,2,MANDATORY,7212332
15518,15518,1419,84,7,5,MANDATORY,5675887
20898,20898,2173,109,8,5,MANDATORY,2222946
23859,23859,2108,1403,8,2,MANDATORY,462170
3034,3034,2173,1375,7,2,MANDATORY,1766060
14349,14349,343,84,8,4,MANDATORY,5170282
2775,2775,2424,174,7,0,MANDATORY,410356
13945,13945,577,1573,8,1,MANDATORY,7005883
26955,26955,2355,2446,7,5,MANDATORY,4940518
19310,19310,2345,2354,8,2,MANDATORY,3747767
12886,12886,2114,2354,7,1,MANDATORY,3308370
12813,12813,2713,1542,8,5,MANDATORY,1273438
21944,21944,2093,1816,7,1,MANDATORY,2039519
7564,7564,1760,84,8,3,MANDATORY,6743659
19624,19624,180,2354,8,3,MANDATORY,1771179
74,74,1884,1566,8,2,MANDATORY,5594562
18942,18942,2284,2354,7,5,MANDATORY,6046772
29287,29287,2355,367,7,4,MANDATORY,1705777
1282,1282,2424,261,7,4,MANDATORY,5196523
14749,14749,1660,84,8,3,MANDATORY,2123198
16396,16396,1444,2354,7,0,MANDATORY,5219626
444,444,2355,1887,7,5,MANDATORY,5276443
6711,6711,1288,84,7,1,MANDATORY,5020029
1413,1413,2424,1065,7,4,MANDATORY,7677447
13700,13700,150,1693,8,0,MANDATORY,569141
23083,23083,1892,2354,7,1,MANDATORY,398391
20737,20737,1167,2354,7,2,MANDATORY,4615755
20461,20461,2653,356,7,1,MANDATORY,1771230
7065,7065,1679,84,8,4,MANDATORY,1047886
13974,13974,15,84,7,3,MANDATORY,5485563
26592,26592,2355,1078,7,0,MANDATORY,3984581
24825,24825,2436,2354,7,5,MANDATORY,825746
24423,24423,1554,2176,7,4,MANDATORY,2338975
1159,1159,2424,1466,7,4,MANDATORY,6737887
10097,10097,2308,1542,8,2,MANDATORY,1531573
21626,21626,944,2354,8,0,MANDATORY,6047051
222,222,1015,2354,7,2,MANDATORY,7461660
20981,20981,1248,429,7,2,MANDATORY,4615729
11712,11712,276,842,7,3,MANDATORY,1420935
9790,9790,2714,2688,7,4,MANDATORY,5773736
26542,26542,2355,1636,7,2,MANDATORY,2888958
22520,22520,203,2354,8,2,MANDATORY,538723
20904,20904,756,2354,7,3,MANDATORY,7006507
2183,2183,2424,542,8,2,MANDATORY,359008
25478,25478,1031,2354,7,2,MANDATORY,825129
18399,18399,601,2354,8,2,MANDATORY,2776000
14697,14697,1206,1544,7,1,MANDATORY,2689881
25337,25337,775,626,8,3,MANDATORY,7490122
21755,21755,2465,1150,8,4,MANDATORY,6521109
16629,16629,1193,2354,8,5,MANDATORY,3983095
27128,27128,2355,276,7,5,MANDATORY,165133
24990,24990,727,704,7,0,MANDATORY,4067024
15230,15230,1503,84,7,1,MANDATORY,2013280
411,411,2355,1736,8,1,MANDATORY,4115286
20841,20841,948,2354,7,5,MANDATORY,2013610
11426,11426,1884,2674,8,2,MANDATORY,6520428
6042,6042,2355,2646,7,4,MANDATORY,4762221
8944,8944,31,2059,7,5,MANDATORY,7680422
7424,7424,136,2507,7,3,MANDATORY,5674866
4211,4211,1918,2431,7,5,MANDATORY,2049444
6183,6183,2355,1261,7,0,MANDATORY,2011060
26792,26792,2355,162,7,2,MANDATORY,7008031
18487,18487,1126,864,8,3,MANDATORY,2050103
75,75,2355,2713,7,4,MANDATORY,3366262
16689,16689,1198,2354,7,2,MANDATORY,3563578
4403,4403,2173,2672,7,3,MANDATORY,3981478
15104,15104,1529,84,8,0,MANDATORY,7006031
13930,13930,1337,84,7,2,MANDATORY,4364674
7821,7821,1640,1086,7,5,MANDATORY,727698
6916,6916,87,84,7,4,MANDATORY,5865730
23648,23648,834,2354,8,0,MANDATORY,7804830
13717,13717,344,84,7,2,MANDATORY,3394098
27565,27565,2355,1327,8,2,MANDATORY,403184
20445,20445,947,469,7,4,MANDATORY,2074039
14117,14117,1334,84,8,3,MANDATORY,158917
27227,27227,288,84,7,3,MANDATORY,3566326
16971,16971,1079,2354,8,3,MANDATORY,2222867
7433,7433,1772,84,7,2,MANDATORY,5205199
10766,10766,2714,59,8,5,MANDATORY,3704282
5619,5619,1884,581,7,2,MANDATORY,2008928
21912,21912,226,2354,7,1,MANDATORY,1690546
8893,8893,496,2059,7,3,MANDATORY,4277193
6739,6739,2000,1433,8,0,MANDATORY,5169883
15307,15307,2035,2655,8,4,MANDATORY,4762897
1129,1129,2424,2443,7,1,MANDATORY,6470477
5989,5989,935,2059,7,0,MANDATORY,5114325
11304,11304,2424,2036,8,5,MANDATORY,2394677
6028,6028,2355,1177,8,2,MANDATORY,6045499
26241,26241,2355,1763,7,0,MANDATORY,670205
16367,16367,2028,2354,8,3,MANDATORY,5485702
504,504,2355,1593,8,0,MANDATORY,6835512
20777,20777,199,2354,8,2,MANDATORY,6814175
23970,23970,1124,2354,8,0,MANDATORY,824636
14896,14896,1420,2157,7,2,MANDATORY,669465
16692,16692,2011,2354,8,1,MANDATORY,3563579
18906,18906,297,2453,8,3,MANDATORY,411627
19211,19211,465,2354,7,1,MANDATORY,2281793
19780,19780,2492,2354,7,1,MANDATORY,2612259
10813,10813,58,1542,7,0,MANDATORY,1647131
6247,6247,2355,655,7,5,MANDATORY,6123099
18222,18222,2256,2354,8,4,MANDATORY,2776030
7101,7101,288,1062,8,4,MANDATORY,6813990
27989,27989,2355,2566,8,4,MANDATORY,1186153
22411,22411,202,2354,8,3,MANDATORY,3705808
27415,27415,2355,379,7,4,MANDATORY,7011059
29129,29129,2355,168,7,5,MANDATORY,19928
6370,6370,2355,1530,8,5,MANDATORY,2011835
15455,15455,2171,84,8,1,MANDATORY,7872237
20936,20936,605,577,8,1,MANDATORY,669687
17572,17572,255,2354,7,0,MANDATORY,4762938
20663,20663,1592,1816,8,1,MANDATORY,2258073
9709,9709,2548,1542,8,2,MANDATORY,1420825
29332,29332,2355,2574,7,4,MANDATORY,3722680
5385,5385,293,84,8,5,MANDATORY,155472
23996,23996,387,2059,7,5,MANDATORY,461914
10025,10025,2420,1542,8,1,MANDATORY,5205300
26014,26014,2355,1171,7,5,MANDATORY,1229883
5180,5180,2173,1376,8,0,MANDATORY,1881792
1459,1459,2424,1939,7,0,MANDATORY,6239274
22940,22940,233,2354,7,3,MANDATORY,159586
9312,9312,545,2059,7,5,MANDATORY,822511
25838,25838,835,2354,7,3,MANDATORY,461786
2659,2659,845,298,8,5,MANDATORY,1641539
28116,28116,2173,105,7,2,MANDATORY,7024054
7659,7659,937,2431,8,2,MANDATORY,7004857
23722,23722,2722,2354,7,5,MANDATORY,823978
5434,5434,1884,2586,8,0,MANDATORY,6268445
5069,5069,2173,827,7,5,MANDATORY,764133
6740,6740,1987,84,7,3,MANDATORY,3054649
10400,10400,437,1542,8,2,MANDATORY,6045956
16974,16974,815,2354,7,3,MANDATORY,4615225
25401,25401,779,2354,7,2,MANDATORY,2989217
10621,10621,2385,1542,7,5,MANDATORY,4277200
28480,28480,2173,753,8,1,MANDATORY,6539955
